TELESCOPE INSTRUMENT GRISM DETECTOR FILTER ORDER WMIN WMAX
JWST NIRCAM C modA F410M +1 3.751000000000003 4.429000000000003
JWST NIRCAM C modA F410M +2 4.201000000000004 4.278500000000004
JWST NIRCAM C modA F356W +1 3.0510000000000024 4.109000000000002
JWST NIRCAM C modA F356W +2 3.101000000000002 3.599000000000002
JWST NIRCAM R modB F356W +1 3.061000000000002 4.099000000000002
JWST NIRCAM R modB F356W +2 3.101000000000002 3.599000000000002
JWST NIRCAM R modB F410M +1 3.761000000000003 4.419000000000003
JWST NIRCAM R modB F410M +2 4.201000000000004 4.228500000000004
JWST NIRCAM C modA F460M +1 4.451000000000004 4.829000000000003
JWST NIRCAM C modA F460M +2 4.511000000000005 4.758500000000004
JWST NIRCAM C modA F250M +1 2.401000000000002 2.618500000000002
JWST NIRCAM C modA F250M +2 2.401000000000002 2.608500000000002
JWST NIRCAM C modA F335M +1 3.101000000000002 3.679000000000002
JWST NIRCAM C modA F335M +2 3.1510000000000025 3.528500000000003
JWST NIRCAM C modA F360M +1 3.3010000000000024 3.929000000000002
JWST NIRCAM C modA F360M +2 3.4110000000000023 3.589000000000002
JWST NIRCAM R modB F444W +1 3.781000000000003 5.129000000000003
JWST NIRCAM R modB F444W +2 4.201000000000004 5.0290000000000035
JWST NIRCAM R modA F322W2 +1 2.381000000000002 4.149000000000002
JWST NIRCAM R modA F322W2 +2 2.381000000000002 3.5990000000000015
JWST NIRCAM C modB F300M +1 2.7710000000000017 3.2590000000000017
JWST NIRCAM C modB F300M +2 2.791000000000002 3.168500000000002
JWST NIRCAM R modA F277W +1 2.3710000000000018 3.2390000000000017
JWST NIRCAM R modA F277W +2 2.3710000000000018 3.159000000000002
JWST NIRCAM R modA F430M +1 4.111000000000003 4.459000000000004
JWST NIRCAM R modA F430M +2 4.201000000000004 4.398500000000004
JWST NIRCAM C modA F480M +1 4.571000000000003 5.099000000000004
JWST NIRCAM C modA F480M +2 4.651000000000003 5.009000000000004
JWST NIRCAM R modB F480M +1 4.571000000000003 5.089000000000004
JWST NIRCAM R modB F480M +2 4.661000000000004 4.999000000000003
JWST NIRCAM C modB F430M +1 4.121000000000004 4.448500000000004
JWST NIRCAM C modB F430M +2 4.201000000000004 4.389000000000004
JWST NIRCAM R modA F300M +1 2.7610000000000023 3.259000000000002
JWST NIRCAM R modA F300M +2 2.791000000000002 3.179000000000002
JWST NIRCAM C modB F322W2 +1 2.391000000000002 4.139000000000001
JWST NIRCAM C modB F322W2 +2 2.381000000000002 3.5990000000000015
JWST NIRCAM C modB F277W +1 2.3710000000000018 3.229000000000002
JWST NIRCAM C modB F277W +2 2.3710000000000018 3.149000000000002
JWST NIRISS GR150C "" F150W +1 1.288 1.712
JWST NIRISS GR150C "" F150W 0 1.288 1.712
JWST NIRISS GR150C "" F150W +2 1.3387046941544807 1.7143780419540788
JWST NIRISS GR150C "" F150W +3 1.3493257021002125 1.7143780419540788
JWST NIRISS GR150C "" F150W -1 1.3493257021002125 3.0510001953125
JWST NIRISS GR150R "" F090W +1 0.7887001774306214 1.031
JWST NIRISS GR150R "" F090W 0 0.7887001774306214 1.031
JWST NIRISS GR150R "" F090W +2 0.7865217488098764 1.0265246003059216
JWST NIRISS GR150R "" F090W +3 0.787 1.029
JWST NIRISS GR150R "" F090W -1 0.787454623338691 3.396
JWST NIRISS GR150R "" F200W +1 1.7029009582509522 2.279451922495031
JWST NIRISS GR150R "" F200W 0 1.7029009582509522 2.279451922495031
JWST NIRISS GR150R "" F200W +2 1.7096428456142785 2.280352767465269
JWST NIRISS GR150R "" F200W +3 1.7103185006448478 2.280352767465269
JWST NIRISS GR150R "" F200W -1 1.713 2.2810001953125
JWST NIRISS GR150R "" F115W +1 0.9973383916486066 1.3187545575193975
JWST NIRISS GR150R "" F115W 0 0.9973383916486066 1.3187545575193975
JWST NIRISS GR150R "" F115W +2 0.9926207124409168 1.2919352743310675
JWST NIRISS GR150R "" F115W +3 0.993 1.2934676076862788
JWST NIRISS GR150R "" F115W -1 0.9937980359933947 3.092
JWST NIRISS GR150R "" F150W +1 1.288 1.712
JWST NIRISS GR150R "" F150W 0 1.288 1.712
JWST NIRISS GR150R "" F150W +2 1.3387046941544807 1.7143780419540788
JWST NIRISS GR150R "" F150W +3 1.3493257021002125 1.7143780419540788
JWST NIRISS GR150R "" F150W -1 1.3493257021002125 3.0510001953125
JWST NIRISS GR150C "" F090W +1 0.7887001774306214 1.031
JWST NIRISS GR150C "" F090W 0 0.7887001774306214 1.031
JWST NIRISS GR150C "" F090W +2 0.7865217488098764 1.0265246003059216
JWST NIRISS GR150C "" F090W +3 0.787 1.029
JWST NIRISS GR150C "" F090W -1 0.787454623338691 3.396
JWST NIRISS GR150C "" F200W +1 1.7029009582509522 2.279451922495031
JWST NIRISS GR150C "" F200W 0 1.7029009582509522 2.279451922495031
JWST NIRISS GR150C "" F200W +2 1.7096428456142785 2.280352767465269
JWST NIRISS GR150C "" F200W +3 1.7103185006448478 2.280352767465269
JWST NIRISS GR150C "" F200W -1 1.713 2.2810001953125
JWST NIRISS GR150C "" F115W +1 0.9973383916486066 1.3187545575193975
JWST NIRISS GR150C "" F115W 0 0.9973383916486066 1.3187545575193975
JWST NIRISS GR150C "" F115W +2 0.9926207124409168 1.2919352743310675
JWST NIRISS GR150C "" F115W +3 0.993 1.2934676076862788
JWST NIRISS GR150C "" F115W -1 0.9937980359933947 3.092
